new entry "_BaseWeapon"
type "Weapon"
data "Level" "1"
data "UseCosts" "ActionPoint:1"
data "Damage Type" "Bludgeoning"
data "Damage" "1d4"
data "WeaponRange" "150"
data "ValueLevel" "1"
data "ValueUUID" "3ae7de83-816a-43e3-a0e1-4d5b78664fc6"
data "ValueScale" "1"
data "ValueRounding" "1"
data "Weight" "1"
data "Slot" "Melee Main Weapon"
data "PersonalStatusImmunities" "SILENCED;SG_Condition;BLEEDING;BURNING"
data "InventoryTab" "Equipment"
data "ItemColor" "DefaultGray"
data "Weapon Group" "SimpleMeleeWeapon"
data "DefaultBoosts" "Tag(ARMAMENT)"
